date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2024-06-05,32.58,33.49,32.5,32.88,695647.74,2303493.634,32.434,32.008,1,1,,,立讯精密,002475.SZ
2024-06-06,33.2,33.75,32.99,33.1,686927.22,2290997.652,32.602,32.09733333333333,1,1,,,立讯精密,002475.SZ
2024-06-07,33.06,33.1,31.85,32.2,777338.24,2507079.748,32.684000000000005,32.13466666666667,1,1,,,立讯精密,002475.SZ
2024-06-11,31.0,31.94,30.88,31.78,673572.08,2120334.751,32.538000000000004,32.14533333333333,1,1,,,立讯精密,002475.SZ
2024-06-12,33.58,34.0,33.19,33.42,1309099.33,4394573.914,32.676,32.248666666666665,1,1,,,立讯精密,002475.SZ
2024-06-13,33.95,34.38,33.04,33.23,893483.48,3010452.013,32.746,32.27333333333333,1,1,,,立讯精密,002475.SZ
2024-06-14,33.2,34.69,33.16,34.35,1017630.49,3473393.693,32.996,32.396,1,1,,,立讯精密,002475.SZ
2024-06-17,34.55,37.7,34.43,37.0,1616777.24,5878248.63,33.956,32.762,1,1,,,立讯精密,002475.SZ
2024-06-18,37.77,38.28,36.82,37.99,1607076.02,6048554.178,35.198,33.16866666666667,1,1,,,立讯精密,002475.SZ
2024-06-19,37.87,38.5,37.4,38.07,969463.97,3678586.917,36.128,33.632666666666665,1,1,,,立讯精密,002475.SZ
2024-06-20,37.9,38.37,37.15,37.26,780780.57,2935429.678,36.934000000000005,34.038,1,1,,,立讯精密,002475.SZ
2024-06-21,36.66,38.0,36.57,37.72,670558.63,2513337.692,37.608,34.402,1,1,,,立讯精密,002475.SZ
2024-06-24,37.55,38.93,37.48,37.88,1038281.0,3971924.083,37.784,34.808,1,1,,,立讯精密,002475.SZ
2024-06-25,37.52,37.84,36.79,37.16,829361.64,3083180.797,37.618,35.118,1,1,,,立讯精密,002475.SZ
2024-06-26,37.25,38.5,37.21,38.2,790072.94,2989094.129,37.644,35.48266666666667,1,1,,,立讯精密,002475.SZ
